File,Blank,Comment,Code
WorldGrid.cs,129,26,599
InventoryUI.cs,88,20,393
GlowCoreUpgradeUI.cs,70,6,318
SaveData.cs,65,6,280
SceneTransitionOverlay.cs,39,4,264
CraftingStationUI.cs,45,11,242
IconCaptureService.cs,48,0,239
ChestUI.cs,54,7,236
Outline.cs,81,44,217
Inventory.cs,44,0,212
AxeMachine.cs,37,5,207
GlowCore.cs,48,4,201
ReadmeEditor.cs,46,1,195
SettingsScreen.cs,36,9,189
PlayerInventory.cs,41,12,169
Node.cs,24,0,164
RecipeRowUI.cs,36,2,158
AudioManager.cs,37,0,157
ActionPromptSystem.cs,27,3,155
DisplaySettingsCategoryTests.cs,30,1,149
NodeActionSystem.cs,33,1,148
ItemEditor.cs,31,1,141
GameBootstrapper.cs,29,10,135
SettingsScreenTests.cs,33,5,134
ItemSlotUI.cs,25,1,123
UnsavedChangesDialogScreenTests.cs,23,0,122
ItemStackDrop.cs,29,1,119
MenuManagerTests.cs,25,0,112
GlowHoverEffect.cs,18,0,106
BlockBehaviour.cs,24,0,105
DisplayService.cs,21,6,104
PlayerMovement.cs,16,0,103
PlayerIntegrationTests.cs,26,0,102
BuildingIntegrationTests.cs,26,0,95
PauseScreen.cs,19,2,93
NewGameScreen.cs,19,0,93
CraftingIntegrationTests.cs,26,0,92
CraftingUI.cs,22,0,90
HotbarUI.cs,13,0,88
IconFraming.cs,19,3,87
IconBatchMenu.cs,11,0,86
IconRenderRig.cs,17,2,86
ChestInteractable.cs,19,3,84
InventoryTests.cs,20,0,83
UnsavedChangesDialogScreen.cs,15,0,79
DescriptorRoundTripTests.cs,19,0,78
CraftingStationInteractable.cs,15,3,77
AudioBridgeTests.cs,15,0,73
FeedMaterialRowUI.cs,14,0,72
AmountStepperUI.cs,13,0,71
HotbarSlotUI.cs,12,0,71
PlayerCamera.cs,17,17,70
NamedMutexSingleInstanceGuardTests.cs,13,2,70
TooltipUI.cs,16,4,70
MenuManager.cs,15,0,70
AxeMachineAnimation.cs,14,0,69
TitleScreen.cs,15,0,69
SaveDataTests.cs,11,9,67
MenuBootstrapper.cs,17,10,67
LowResViewport.cs,18,0,66
SettingsEscapeConsumerTests.cs,11,1,64
SettingsRepositoryTests.cs,10,0,62
PlayerHand.cs,9,0,61
Chest.cs,23,12,59
ConfirmDialogScreen.cs,13,0,59
ToolBehaviour.cs,9,1,58
NewGameServiceTests.cs,8,0,56
DisplaySettingsCategory.cs,10,0,56
SettingDescriptor.cs,5,0,56
ContainerOps.cs,9,0,54
ItemRegistry.cs,13,0,54
FogFollow.cs,20,0,50
Replanter.cs,12,0,49
MachineProgressBars.cs,8,0,49
AudioMixerVolumeApplier.cs,15,0,49
ItemStack.cs,13,0,48
NamedMutexSingleInstanceGuard.cs,11,1,48
